Date,Open,High,Low,Close,Volume
2004-12-31 00:00:00+05:30,9.0,13.65,9.0,13.3,79284098
2005-01-03 00:00:00+05:30,13.5,15.48,13.23,14.86,57136569
2005-01-04 00:00:00+05:30,14.5,15.25,13.61,13.79,22432299
2005-01-05 00:00:00+05:30,13.85,14.75,12.43,13.43,30792509
2005-01-06 00:00:00+05:30,13.01,15.79,13.01,14.67,40920009
2005-01-07 00:00:00+05:30,13.87,15.14,13.87,14.8,15018109
2005-01-10 00:00:00+05:30,15.2,15.84,14.76,14.97,12700709
2005-01-11 00:00:00+05:30,14.97,15.7,14.7,15.25,11943039
2005-01-12 00:00:00+05:30,15.45,15.63,14.23,14.84,10324969
2005-01-13 00:00:00+05:30,15.15,15.45,15.01,15.25,4039479
2005-01-14 00:00:00+05:30,15.38,16.49,14.83,15.41,17046029
2005-01-17 00:00:00+05:30,15.62,15.62,14.4,14.56,4907369
2005-01-18 00:00:00+05:30,14.65,14.8,14.25,14.4,3239989
2005-01-19 00:00:00+05:30,14.58,15.05,14.31,14.38,4159689
2005-01-20 00:00:00+05:30,14.38,14.48,13.4,13.99,2493329
2005-01-24 00:00:00+05:30,14.15,14.27,13.66,13.81,1858769
2005-01-25 00:00:00+05:30,13.83,13.99,13.61,13.81,1119539
2005-01-27 00:00:00+05:30,13.96,14.6,13.78,14.39,3361779
2005-01-28 00:00:00+05:30,14.5,16.63,14.41,16.29,15297739
2005-01-31 00:00:00+05:30,16.01,17.08,15.82,16.24,13146689
2005-02-01 00:00:00+05:30,16.25,16.85,16.13,16.34,8512639
2005-02-02 00:00:00+05:30,16.5,17.39,16.35,16.74,11832249
2005-02-03 00:00:00+05:30,16.94,17.37,16.26,17.08,11802199
2005-02-04 00:00:00+05:30,17.0,20.27,16.55,18.57,37882829
2005-02-07 00:00:00+05:30,18.7,19.34,17.92,18.17,20192419
2005-02-08 00:00:00+05:30,18.2,18.85,17.84,18.29,9292679
2005-02-09 00:00:00+05:30,18.49,18.5,17.66,17.82,3805179
2005-02-10 00:00:00+05:30,17.9,18.89,17.0,18.29,7470979
2005-02-11 00:00:00+05:30,18.21,18.99,17.9,18.17,8653669
2005-02-14 00:00:00+05:30,18.39,18.76,17.85,17.98,3792259
2005-02-15 00:00:00+05:30,18.14,18.75,17.52,17.75,10256989
2005-02-16 00:00:00+05:30,17.89,18.15,17.02,17.16,6218219
2005-02-17 00:00:00+05:30,17.1,17.24,16.46,16.62,4126759
2005-02-18 00:00:00+05:30,16.8,17.68,16.75,17.29,8569129
2005-02-21 00:00:00+05:30,17.49,17.49,16.56,16.7,3250109
2005-02-22 00:00:00+05:30,16.75,16.9,16.42,16.53,2778949
2005-02-23 00:00:00+05:30,16.64,17.3,16.4,16.74,4329809
2005-02-24 00:00:00+05:30,16.8,17.13,16.42,16.56,2308609
2005-02-25 00:00:00+05:30,16.7,16.87,15.73,15.92,2311389
2005-02-28 00:00:00+05:30,15.8,19.0,15.3,18.69,20559079
2005-03-01 00:00:00+05:30,18.8,18.8,17.22,17.32,12999139
2005-03-02 00:00:00+05:30,17.35,17.85,17.25,17.34,5641759
2005-03-03 00:00:00+05:30,17.4,17.6,17.21,17.42,2930359
2005-03-04 00:00:00+05:30,17.57,17.85,17.0,17.13,2775819
2005-03-07 00:00:00+05:30,17.19,17.34,16.81,16.93,1993019
2005-03-08 00:00:00+05:30,17.03,17.7,16.68,17.06,3068399
2005-03-09 00:00:00+05:30,17.1,17.43,16.15,16.31,2176179
2005-03-10 00:00:00+05:30,16.27,16.69,16.03,16.21,1866509
2005-03-11 00:00:00+05:30,17.0,17.0,16.06,16.14,2324529
2005-03-14 00:00:00+05:30,16.4,16.74,15.85,16.39,1985279
2005-03-15 00:00:00+05:30,16.43,18.04,16.22,17.04,18000149
2005-03-16 00:00:00+05:30,17.21,17.35,16.27,16.41,3774359
2005-03-17 00:00:00+05:30,16.3,16.44,15.65,15.86,2355769
2005-03-18 00:00:00+05:30,15.89,16.27,15.61,15.89,3026509
2005-03-21 00:00:00+05:30,16.09,16.37,15.51,15.6,1653949
2005-03-22 00:00:00+05:30,15.69,15.87,14.71,14.79,1937769
